,produk,brand,harga,gambar
0,bicolor calf leather satchel,Coach,"IDR 2,100,000",https://tinkerlust.s3.ap-southeast-1.amazonaws.com/products//product_list/260x260/93268%20%281%29_COA1059
1,swagger small studded leather sling bag,Coach,"IDR 4,840,000",https://tinkerlust.s3.ap-southeast-1.amazonaws.com/products//product_list/260x260/126411%20%281%29_COA1133
2,swagger floral small bag satchel,Coach,"IDR 5,060,000",https://tinkerlust.s3.ap-southeast-1.amazonaws.com/products//product_list/260x260/COA2_T_18_depan_COA1136
3,mini bennett satchel in red,Coach,"IDR 2,600,000",https://tinkerlust.s3.ap-southeast-1.amazonaws.com/products//product_list/260x260/10738238_COA1096
4,vintage brown shoulder bag,Coach,"IDR 3,700,000",https://tinkerlust.s3.ap-southeast-1.amazonaws.com/products//product_list/260x260/1%20%282%29_COA1202
5,kristin leather embossed python round satchel,Coach,"IDR 1,800,000",https://tinkerlust.s3.ap-southeast-1.amazonaws.com/products//product_list/260x260/113170%20%281%29_COA1103
6,brown & yellow satchel,Coach,"IDR 2,650,000",https://tinkerlust.s3.ap-southeast-1.amazonaws.com/products//product_list/260x260/137686%20%281%29_COA1134
7,blue pebbled leather and suede large trapeze satchel,Celine,"IDR 14,500,000",https://tinkerlust.s3.ap-southeast-1.amazonaws.com/products//product_list/260x260/1%20%281%29_CEL1175
8,orange pebbled leather and suede medium trapeze satchel,Celine,"IDR 10,100,000",https://tinkerlust.s3.ap-southeast-1.amazonaws.com/products//product_list/260x260/1_CEL1174
9,trapeze medium jungle satchel,Celine,"IDR 13,090,000",https://tinkerlust.s3.ap-southeast-1.amazonaws.com/products//product_list/260x260/CEL1120_T_24_depan_CEL1120
10,trapeze tricolor satchel,Celine,"IDR 11,150,000",https://tinkerlust.s3.ap-southeast-1.amazonaws.com/products//product_list/260x260/CEL-T_24-depan_CEL1159
11,pop up messenger in colorblock leather wallet sling bag,Coach,"IDR 1,705,000",https://tinkerlust.s3.ap-southeast-1.amazonaws.com/products//product_list/260x260/103463%20%281%29_COA3012
12,classic mini city leather bleu azur satchel bag,Balenciaga,"IDR 10,000,000",https://tinkerlust.s3.ap-southeast-1.amazonaws.com/products/89479879-0013-47ec-a24d-cd5b513d6023/product_list/260x260/IMG_0824-Photoroom_21630-SA-58
13,chevre edge hardware city gris perle,Balenciaga,"IDR 10,500,000",https://tinkerlust.s3.ap-southeast-1.amazonaws.com/products/6a25c04c-ad26-47ba-b2c8-ba7a985effc3/product_list/260x260/IMG_0838-Photoroom_21630-SA-57
14,the bambinou light blue flap bag,Jacquemus,"IDR 10,867,500",/_next/image?url=%2F_next%2Fstatic%2Fmedia%2Fbest-deal.78ebdf2a.png&w=96&q=75
15,mina 20 new vienne lux calfskin leather jaune citron sling bag,Alaia,"IDR 15,000,000",https://tinkerlust.s3.ap-southeast-1.amazonaws.com/products/6a4cf7b7-67fc-4ad4-8f70-b1d2cc33b2ec/product_list/260x260/IMG_0872-Photoroom_29877-CB-11
16,beri taupe sling bag,POLENE,"IDR 5,000,000",https://tinkerlust.s3.ap-southeast-1.amazonaws.com/products/1763a175-608b-4066-ae7a-b1ef03ba9160/product_list/260x260/IMG_0882-Photoroom_29877-CB-10
17,artois pm black tan 2025 tote bag,Goyard,"IDR 42,350,000",https://tinkerlust.s3.ap-southeast-1.amazonaws.com/products/542ef20b-d17b-4ad5-8e89-a62de6467ea2/product_list/260x260/WhatsApp%20Image%202025-02-08%20at%2016.04.35_9f878051-Photoroom_16957-TB-1234
18,gabrielle small red chevron seri #27 sling bag,Chanel,"IDR 46,750,000",https://tinkerlust.s3.ap-southeast-1.amazonaws.com/products/786ce659-4849-4e25-aa1f-54ceb88bda93/product_list/260x260/WhatsApp%20Image%202025-02-08%20at%2015.56.51_2bf78eb5-Photoroom_16957-CB-1233
19,pochette accessories monogram multicolor black ghw 2004 handbag,Louis Vuitton,"IDR 22,550,000",https://tinkerlust.s3.ap-southeast-1.amazonaws.com/products/3facbc36-9dc8-4f42-a046-b4ac8d21d5ef/product_list/260x260/WhatsApp%20Image%202025-02-08%20at%2015.50.27_e31178b5-Photoroom_16957-HB-1232
20,gabrielle small silver seri #30 sling bag,Chanel,"IDR 46,200,000",https://tinkerlust.s3.ap-southeast-1.amazonaws.com/products/83c8c151-3aa8-4294-a19a-bd970965c80b/product_list/260x260/WhatsApp%20Image%202025-02-08%20at%2014.45.12_44e7d31c-Photoroom_16957-CB-1230
21,metis monogram empreinte navy ghw 2017 satchel,Louis Vuitton,"IDR 24,200,000",https://tinkerlust.s3.ap-southeast-1.amazonaws.com/products/38963b6f-cba4-4ec1-a45d-e1b0f4a2337a/product_list/260x260/IMG-20250207-WA0581-Photoroom_16957-SA-1229
22,mazarine pm monogram empreinte red ghw 2016 satchel,Louis Vuitton,"IDR 17,875,000",https://tinkerlust.s3.ap-southeast-1.amazonaws.com/products/367a7ce6-f7a4-42a9-ad28-e59b338add76/product_list/260x260/WhatsApp%20Image%202025-02-07%20at%2016.38.08_ae7c7818-Photoroom_16957-SA-1228
23,lady dior small red ghw 2017 satchel,Christian Dior,"IDR 42,350,000",https://tinkerlust.s3.ap-southeast-1.amazonaws.com/products/f2b3b53f-0160-4993-86df-af65baa9a353/product_list/260x260/IMG-20250207-WA0530-Photoroom_16957-SA-1227
24,constance 24 / c24 rdc evercolor ghw stamp #c sling bag,Hermes,"IDR 132,840,000",https://tinkerlust.s3.ap-southeast-1.amazonaws.com/products/1a4a0911-b659-4669-87c9-feda8c002125/product_list/260x260/WhatsApp%20Image%202025-02-07%20at%2016.34.36_66842d7c-Photoroom_16957-CB-1226
25,arli white ghw sling bag,Gucci,"IDR 9,775,000",https://tinkerlust.s3.ap-southeast-1.amazonaws.com/products/0670c6c7-8e0a-4a67-bfb9-ef520103ea1d/product_list/260x260/WhatsApp%20Image%202025-02-07%20at%2015.58.16_8411cb92-Photoroom_16957-CB-1225
26,woc interlocking black ghw 2021 sling bag,Gucci,"IDR 10,925,000",https://tinkerlust.s3.ap-southeast-1.amazonaws.com/products/a7a88a4e-de1b-4ef4-a53c-d14b7075382c/product_list/260x260/WhatsApp%20Image%202025-02-06%20at%2015.24.22_2f034ee4-Photoroom_16957-CB-1224
27,peek a boo regular phyton leather satchel,Fendi,"IDR 22,000,000",https://tinkerlust.s3.ap-southeast-1.amazonaws.com/products/aeb0040c-a25a-4147-bf83-37a90f82bf2e/product_list/260x260/IMG-20250206-WA1281-Photoroom_16957-SA-1223
28,peek a boo selleria medium red inside beige shw satchel,Fendi,"IDR 20,375,000",https://tinkerlust.s3.ap-southeast-1.amazonaws.com/products/a8c7964d-ca94-45ed-ab85-1a74e1aeb2ce/product_list/260x260/WhatsApp%20Image%202025-02-06%20at%2014.54.03_18c66cd1-Photoroom_16957-SA-1222
29,montaigne medium navy calfskin ghw 2020 sling bag,Christian Dior,"IDR 39,600,000",https://tinkerlust.s3.ap-southeast-1.amazonaws.com/products/0f20fea5-6856-4fe9-9932-06348a15bd41/product_list/260x260/WhatsApp%20Image%202025-02-06%20at%2014.30.05_25f01f44-Photoroom_16957-CB-1221
30,caro small grey ghw 2021 sling bag,Christian Dior,"IDR 45,650,000",https://tinkerlust.s3.ap-southeast-1.amazonaws.com/products/041fdbbb-0c2a-4433-8431-ae06d6ad2924/product_list/260x260/WhatsApp%20Image%202025-02-06%20at%2014.21.31_66f4040c-Photoroom_16957-CB-1220
31,caro small black ghw 2021 sling bag,Christian Dior,"IDR 49,500,000",https://tinkerlust.s3.ap-southeast-1.amazonaws.com/products/a7871637-1bec-4fac-8e55-2cd5f21ed378/product_list/260x260/WhatsApp%20Image%202025-02-05%20at%2014.15.02_821d09a6-Photoroom_16957-CB-1219
32,mini soft boite monogram ghw 2021 sling bag,Louis Vuitton,"IDR 25,300,000",https://tinkerlust.s3.ap-southeast-1.amazonaws.com/products/4ac876c7-ca2b-43e7-84f0-37e4c6cb3ca6/product_list/260x260/IMG-20250205-WA0640-Photoroom_16957-CB-1218
33,montaigne 30 green grained ghw 2019 sling bag,Christian Dior,"IDR 33,000,000",https://tinkerlust.s3.ap-southeast-1.amazonaws.com/products/4974a8b6-5b4f-49bc-bdbe-f405351dcb9b/product_list/260x260/IMG-20250205-WA0612-Photoroom_16957-CB-1217
34,regular city edge navy ghw 2017 satchel,Balenciaga,"IDR 14,875,000",https://tinkerlust.s3.ap-southeast-1.amazonaws.com/products/aabde235-1556-4845-8275-384868841d78/product_list/260x260/WhatsApp%20Image%202025-02-05%20at%2013.24.52_f30941ee-Photoroom_16957-SA-1216
35,peek a boo medium etoupe ghw 2017 satchel,Fendi,"IDR 25,850,000",https://tinkerlust.s3.ap-southeast-1.amazonaws.com/products/eac1baec-a252-437b-b3cb-306db7bd4de3/product_list/260x260/IMG-20250204-WA0669-Photoroom_16957-SA-1215
36,small city classic grey blue shw 2019 satchel,Balenciaga,"IDR 15,375,000",https://tinkerlust.s3.ap-southeast-1.amazonaws.com/products/469e1600-50aa-4bb7-9c3f-6ea28da02d79/product_list/260x260/WhatsApp%20Image%202025-02-04%20at%2013.40.26_e5b3ab56-Photoroom_16957-SA-1214
37,coussin white pm monogram empreinte ghw chip shoulder bag,Louis Vuitton,"IDR 38,500,000",https://tinkerlust.s3.ap-southeast-1.amazonaws.com/products/95bf1916-2243-406c-b248-beaedd10ac04/product_list/260x260/IMG-20250204-WA0616-Photoroom_16957-SB-1213
38,croisette damier azur ghw 2019 satchel,Louis Vuitton,"IDR 21,450,000",https://tinkerlust.s3.ap-southeast-1.amazonaws.com/products/cbad395c-a6d0-4a93-9575-993c33901d73/product_list/260x260/IMG-20250204-WA0586-Photoroom_16957-SA-1212
39,judy multicolor black mm ghw 2009 shoulder bag,Louis Vuitton,"IDR 13,225,000",https://tinkerlust.s3.ap-southeast-1.amazonaws.com/products/9e791eac-d76f-49ed-832c-5a36e8873027/product_list/260x260/IMG-20250203-WA2540-Photoroom_16957-SB-1211
40,lady dior medium patent red ghw 2015 satchel,Christian Dior,"IDR 24,750,000",https://tinkerlust.s3.ap-southeast-1.amazonaws.com/products/6acc6d87-2f5a-4a0e-ac4f-66df7ced37e1/product_list/260x260/WhatsApp%20Image%202025-02-03%20at%2015.19.00_dfb060b8-Photoroom_16957-SA-1210
41,keepall 45 monogram ghw 2011 luggage and travel,Louis Vuitton,"IDR 18,375,000",https://tinkerlust.s3.ap-southeast-1.amazonaws.com/products/8e0f5d9b-c976-4f99-8742-2ef0d846441f/product_list/260x260/WhatsApp%20Image%202025-02-01%20at%2015.16.14_c82d5e34-Photoroom_16957-LT-1209
42,dome sima small leather black lghw satchel,Gucci,"IDR 11,500,000",https://tinkerlust.s3.ap-southeast-1.amazonaws.com/products/1bd98d71-692e-4a10-ad99-3521d01fc13f/product_list/260x260/IMG-20250203-WA1080-Photoroom_16957-SA-1208
43,peek a boo medium etoupe ghw satchel,Fendi,"IDR 29,150,000",https://tinkerlust.s3.ap-southeast-1.amazonaws.com/products/91a38ae4-1645-4d6e-b7a4-432fe5e37dea/product_list/260x260/IMG-20250203-WA1057-Photoroom_16957-SA-1207
44,keepall 50 vintage monogram ghw 1997 luggage and travel,Louis Vuitton,"IDR 15,375,000",https://tinkerlust.s3.ap-southeast-1.amazonaws.com/products/ddc4f65c-d126-4073-b434-46fe833937fa/product_list/260x260/WhatsApp%20Image%202025-02-01%20at%2013.47.55_3e77e4cf-Photoroom_16957-LT-1206
45,st. louis pm black tan 2022 tote bag,Goyard,"IDR 27,500,000",https://tinkerlust.s3.ap-southeast-1.amazonaws.com/products/27d8ac78-159d-4df8-87e9-cb704e740e49/product_list/260x260/IMG-20250210-WA2320-Photoroom_16957-TB-1205
46,saddle medium oblique ghw 2020  shoulder bag,Christian Dior,"IDR 40,150,000",https://tinkerlust.s3.ap-southeast-1.amazonaws.com/products/c87a6015-fa78-488a-97e9-ad90adaaaec2/product_list/260x260/WhatsApp%20Image%202025-01-31%20at%2014.53.57_67e34d9c-Photoroom_16957-SB-1204
47,dauphine woc monogram reverse ghw 2020 shoulder bag,Louis Vuitton,"IDR 26,950,000",https://tinkerlust.s3.ap-southeast-1.amazonaws.com/products/c890df2a-b562-4477-8ac5-e7452073eae1/product_list/260x260/WhatsApp%20Image%202025-01-31%20at%2014.52.41_e2f853bd-Photoroom_16957-SB-1203
48,hop sage green handbag,Bottega Veneta,"IDR 37,950,000",https://tinkerlust.s3.ap-southeast-1.amazonaws.com/products/6f78e569-3576-4533-bc95-8d5ac95fa23c/product_list/260x260/IMG-20250211-WA0979-Photoroom_3893-HB-2575
